sample-pruner: sample of 1600 of 16384; 0 checked, 1137 pruned so far
sample-pruner: freed 1.06 GB, 1151 pruned, 0 checked
sample-pruner: freed 0.84 GB, 1164 pruned, 0 checked
sample-pruner: freed 0.35 GB, 1171 pruned, 0 checked
sample-pruner: freed 0.43 GB, 1178 pruned, 0 checked
sample-pruner: freed 0.35 GB, 1183 pruned, 0 checked
sample-pruner: freed 0.41 GB, 1188 pruned, 0 checked
sample-pruner: freed 0.27 GB, 1191 pruned, 0 checked
sample-pruner: freed 0.46 GB, 1197 pruned, 0 checked
sample-pruner: freed 0.41 GB, 1201 pruned, 0 checked
sample-pruner: freed 0.34 GB, 1208 pruned, 0 checked
sample-pruner: freed 0.43 GB, 1213 pruned, 0 checked
sample-pruner: freed 0.61 GB, 1220 pruned, 0 checked
sample-pruner: freed 0.43 GB, 1226 pruned, 0 checked
sample-pruner: freed 0.50 GB, 1232 pruned, 0 checked
sample-pruner: freed 0.64 GB, 1242 pruned, 0 checked
sample-pruner: freed 0.69 GB, 1252 pruned, 0 checked
sample-pruner: freed 0.44 GB, 1259 pruned, 0 checked
sample-pruner: freed 0.34 GB, 1265 pruned, 0 checked
sample-pruner: freed 0.14 GB, 1267 pruned, 0 checked
sample-pruner: freed 0.54 GB, 1274 pruned, 0 checked
sample-pruner: freed 0.49 GB, 1281 pruned, 0 checked
sample-pruner: freed 0.63 GB, 1292 pruned, 0 checked
sample-pruner: freed 0.56 GB, 1300 pruned, 0 checked
sample-pruner: freed 0.22 GB, 1303 pruned, 0 checked
sample-pruner: freed 0.12 GB, 1305 pruned, 0 checked
sample-pruner: freed 0.53 GB, 1313 pruned, 0 checked
sample-pruner: freed 1.05 GB, 1325 pruned, 0 checked
sample-pruner: freed 0.55 GB, 1333 pruned, 0 checked
sample-pruner: freed 0.51 GB, 1340 pruned, 0 checked
sample-pruner: freed 0.29 GB, 1345 pruned, 0 checked
sample-pruner: freed 0.33 GB, 1349 pruned, 0 checked
sample-pruner: freed 0.43 GB, 1353 pruned, 0 checked
sample-pruner: freed 0.44 GB, 1360 pruned, 0 checked
sample-pruner: freed 0.43 GB, 1367 pruned, 0 checked
sample-pruner: freed 0.23 GB, 1370 pruned, 0 checked
sample-pruner: freed 0.52 GB, 1376 pruned, 0 checked
sample-pruner: freed 0.35 GB, 1379 pruned, 0 checked
sample-pruner: freed 0.48 GB, 1384 pruned, 0 checked
sample-pruner: freed 0.48 GB, 1389 pruned, 0 checked
sample-pruner: freed 0.48 GB, 1396 pruned, 0 checked
sample-pruner: freed 0.16 GB, 1399 pruned, 0 checked
sample-pruner: freed 0.29 GB, 1402 pruned, 0 checked
sample-pruner: freed 0.75 GB, 1411 pruned, 0 checked
